Epochs [Qswap]:  15%|██████████████████████████████████▋                                                                                                                                                                                                    | 15/100 [00:16<01:30,  1.06s/it]
Epoch [73/100] - Loss: 23.0260, Accuracy: 0.1014
Eval - Loss: 2.3026, Accuracy: 0.1015
Epoch [74/100] - Loss: 23.0259, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.0983
Epoch [75/100] - Loss: 23.0259, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.0983
Epoch [76/100] - Loss: 23.0259, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.1017
Epoch [77/100] - Loss: 23.0259, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.0983
Epoch [78/100] - Loss: 23.0259, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.0963
Epoch [79/100] - Loss: 23.0259, Accuracy: 0.1005
Eval - Loss: 2.3026, Accuracy: 0.1013
Epoch [80/100] - Loss: 23.0259, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.0988
Epoch [81/100] - Loss: 23.0258, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.1035
Epoch [82/100] - Loss: 23.0259, Accuracy: 0.0995
Eval - Loss: 2.3027, Accuracy: 0.0961
Traceback (most recent call last):
  File "/gpfs/home1/aiphw227/Delay_RNN/code/main.py", line 138, in <module>
    main()
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/main.py", line 94, in decorated_main
    _run_hydra(
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/_internal/utils.py", line 394, in _run_hydra
    _run_app(
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/_internal/utils.py", line 457, in _run_app
    run_and_report(
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/_internal/utils.py", line 220, in run_and_report
    return func()
           ^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/_internal/utils.py", line 458, in <lambda>
    lambda: hydra.run(
            ^^^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/_internal/hydra.py", line 119, in run
    ret = run_job(
          ^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/hydra/core/utils.py", line 186, in run_job
    ret.return_value = task_function(task_cfg)
                       ^^^^^^^^^^^^^^^^^^^^^^^
  File "/gpfs/home1/aiphw227/Delay_RNN/code/main.py", line 100, in main
    avg_loss, accuracy = train_dataset.train(
                         ^^^^^^^^^^^^^^^^^^^^
  File "/gpfs/home1/aiphw227/Delay_RNN/code/datasets/Qswap.py", line 95, in train
    out = model(x = inputs, lengths=lengths, out_lengths = targets.shape[1], train = True)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/torch/nn/modules/module.py", line 1736, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/torch/nn/modules/module.py", line 1747, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/gpfs/home1/aiphw227/Delay_RNN/code/models/RNN.py", line 63, in forward
    next_h = self.rnn_cell(x_t, h_t)
             ^^^^^^^^^^^^^^^^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/torch/nn/modules/module.py", line 1736, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/torch/nn/modules/module.py", line 1747, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home1/aiphw227/miniconda3/envs/rnn/lib/python3.11/site-packages/torch/nn/modules/rnn.py", line 1582, in forward
    ret = _VF.rnn_tanh_cell(
          ^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
