Epochs [Qswap]:  15%|██████████████████████████████████▋                                                                                                                                                                                                    | 15/100 [00:14<01:22,  1.04it/s]
Eval - Loss: 2.3025, Accuracy: 0.1016
Epoch [27/100] - Loss: 23.0261, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0980
Epoch [28/100] - Loss: 23.0260, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.0980
Epoch [29/100] - Loss: 23.0262, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.1001
Epoch [30/100] - Loss: 23.0261, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.1041
Epoch [31/100] - Loss: 23.0264, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.1022
Epoch [32/100] - Loss: 23.0260, Accuracy: 0.1004
Eval - Loss: 2.3027, Accuracy: 0.0994
Epoch [33/100] - Loss: 23.0262, Accuracy: 0.0993
Eval - Loss: 2.3027, Accuracy: 0.0965
Epoch [34/100] - Loss: 23.0261, Accuracy: 0.1000
Eval - Loss: 2.3025, Accuracy: 0.0994
Epoch [35/100] - Loss: 23.0260, Accuracy: 0.1003
Eval - Loss: 2.3025, Accuracy: 0.1031
Epoch [36/100] - Loss: 23.0259, Accuracy: 0.1006
Eval - Loss: 2.3026, Accuracy: 0.0984
Epoch [37/100] - Loss: 23.0262, Accuracy: 0.0998
Eval - Loss: 2.3025, Accuracy: 0.0986
Epoch [38/100] - Loss: 23.0261, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.1023
Epoch [39/100] - Loss: 23.0260, Accuracy: 0.1009
Eval - Loss: 2.3025, Accuracy: 0.1033
Epoch [40/100] - Loss: 23.0261, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.0976
Epoch [41/100] - Loss: 23.0261, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.0994
Epoch [42/100] - Loss: 23.0261, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.1004
Epoch [43/100] - Loss: 23.0260, Accuracy: 0.1002
Eval - Loss: 2.3027, Accuracy: 0.0996
Epoch [44/100] - Loss: 23.0261, Accuracy: 0.0993
Eval - Loss: 2.3027, Accuracy: 0.0986
Epoch [45/100] - Loss: 23.0261, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.1002
Epoch [46/100] - Loss: 23.0261, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1001
Epoch [47/100] - Loss: 23.0260, Accuracy: 0.0991
Eval - Loss: 2.3026, Accuracy: 0.1028
Epoch [48/100] - Loss: 23.0260, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1015
Epoch [49/100] - Loss: 23.0260, Accuracy: 0.0996
Eval - Loss: 2.3025, Accuracy: 0.1031
Epoch [50/100] - Loss: 23.0260, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.1007
Epoch [51/100] - Loss: 23.0259, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [52/100] - Loss: 23.0260, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.1007
Epoch [53/100] - Loss: 23.0259, Accuracy: 0.1009
Eval - Loss: 2.3025, Accuracy: 0.1012
Epoch [54/100] - Loss: 23.0260, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1033
Epoch [55/100] - Loss: 23.0261, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [56/100] - Loss: 23.0260, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.0970
Epoch [57/100] - Loss: 23.0259, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.1025
Epoch [58/100] - Loss: 23.0259, Accuracy: 0.1011
Eval - Loss: 2.3027, Accuracy: 0.0972
Epoch [59/100] - Loss: 23.0261, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1029
Epoch [60/100] - Loss: 23.0260, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.0991
Epoch [61/100] - Loss: 23.0259, Accuracy: 0.1001
Eval - Loss: 2.3025, Accuracy: 0.1019
Epoch [62/100] - Loss: 23.0260, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.0994
Epoch [63/100] - Loss: 23.0260, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.0979
Epoch [64/100] - Loss: 23.0260, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.0967
Epoch [65/100] - Loss: 23.0260, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.1023
Epoch [66/100] - Loss: 23.0259, Accuracy: 0.0986
Eval - Loss: 2.3026, Accuracy: 0.1020
Epoch [67/100] - Loss: 23.0259, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.1005
Epoch [68/100] - Loss: 23.0259, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0965
Epoch [69/100] - Loss: 23.0259, Accuracy: 0.1006
Eval - Loss: 2.3027, Accuracy: 0.0970
Epoch [70/100] - Loss: 23.0260, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.0969
Epoch [71/100] - Loss: 23.0259, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [72/100] - Loss: 23.0260, Accuracy: 0.0984
Eval - Loss: 2.3026, Accuracy: 0.1051
Epoch [73/100] - Loss: 23.0259, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [74/100] - Loss: 23.0260, Accuracy: 0.0990
Eval - Loss: 2.3026, Accuracy: 0.1008
Epoch [75/100] - Loss: 23.0259, Accuracy: 0.0996
Eval - Loss: 2.3025, Accuracy: 0.0998
Epoch [76/100] - Loss: 23.0259, Accuracy: 0.1008
Eval - Loss: 2.3026, Accuracy: 0.1016
Epoch [77/100] - Loss: 23.0260, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [78/100] - Loss: 23.0258, Accuracy: 0.1005
Eval - Loss: 2.3026, Accuracy: 0.0990
Epoch [79/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.0990
Epoch [80/100] - Loss: 23.0258, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.0966
Epoch [81/100] - Loss: 23.0259, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.1015
Epoch [82/100] - Loss: 23.0259, Accuracy: 0.1001
Eval - Loss: 2.3025, Accuracy: 0.0998
Epoch [83/100] - Loss: 23.0260, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.1007
Epoch [84/100] - Loss: 23.0260, Accuracy: 0.1000
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [85/100] - Loss: 23.0259, Accuracy: 0.1011
Eval - Loss: 2.3026, Accuracy: 0.1017
Epoch [86/100] - Loss: 23.0259, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [87/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.0972
Epoch [88/100] - Loss: 23.0259, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.1016
Epoch [89/100] - Loss: 23.0259, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.0974
Epoch [90/100] - Loss: 23.0259, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [91/100] - Loss: 23.0260, Accuracy: 0.0992
Eval - Loss: 2.3026, Accuracy: 0.1036
Epoch [92/100] - Loss: 23.0258, Accuracy: 0.1006
Eval - Loss: 2.3026, Accuracy: 0.0974
Epoch [93/100] - Loss: 23.0258, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.1019
Epoch [94/100] - Loss: 23.0258, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.1018
Epoch [95/100] - Loss: 23.0258, Accuracy: 0.1010
Eval - Loss: 2.3026, Accuracy: 0.0970
Epoch [96/100] - Loss: 23.0260, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [97/100] - Loss: 23.0259, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.0995
Epoch [98/100] - Loss: 23.0259, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1021
Epoch [99/100] - Loss: 23.0258, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.1002
Epoch [100/100] - Loss: 23.0258, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.0955
